52779944	1998-05-16	22
52065727	1998-12-26	17
52706764	1998-08-29	12
52779944	1998-05-17	10
52003452	1999-09-02	10
53058391	1998-05-10	8
52416810	1998-05-18	8
52678050	1998-11-11	8
51048555	1998-12-22	8
51922459	1999-05-10	8
52779939	1998-05-19	7
51114886	1998-08-29	7
52678050	1998-10-05	7
52678050	1998-10-22	7
52065701	1998-12-29	7
51731415	1999-02-09	7
51924701	1999-02-20	7
51310809	1999-06-07	7
52532820	1999-07-06	7
50890784	1999-09-18	7
52339196	1998-06-20	6
52579724	1998-07-12	6
51241925	1998-07-14	6
52567415	1998-07-19	6
52567415	1998-08-23	6
52678050	1998-09-30	6
52215927	1998-12-25	6
52215963	1999-01-31	6
52504165	1999-02-09	6
51887342	1999-02-16	6
52666211	1999-05-25	6
51750023	1999-06-05	6
51007602	1999-06-08	6
51358503	1999-06-18	6
51094222	1999-06-29	6
51132208	1999-07-09	6
52932081	1999-08-04	6
52932081	1999-08-18	6
51001388	1999-09-14	6
50923379	1999-09-16	6
52712575	1998-05-13	5
50907757	1998-05-28	5
52981472	1998-06-17	5
51844619	1998-07-04	5
52613155	1998-07-22	5
52541257	1998-08-01	5
52569116	1998-08-23	5
52308734	1998-11-20	5
51048555	1998-12-17	5
52065701	1998-12-27	5
52377838	1999-01-25	5
52346386	1999-02-28	5
52086211	1999-03-04	5
52216836	1999-03-06	5
52567415	1999-03-25	5
51737807	1999-04-01	5
51682698	1999-05-02	5
51783916	1999-05-21	5
51662516	1999-06-13	5
51203750	1999-06-16	5
51171708	1999-06-23	5
51670158	1999-08-13	5
52368451	1999-08-31	5
51056414	1999-09-02	5
52003452	1999-09-03	5
52932081	1999-09-21	5
customer_id	date	count
